Country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Israel,60.0,80.0,65.0,65.0,65.0,75.0,60.0,70.0,72.0,94.0,107.0,115.0,114.0,87.0,83.0,92.0,100.0,110.0,116.0,99.0,100.0,135.0,90.0,109.0,120.0,180.0,220.0,265.0,270.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Qatar,,,,,,,,,,127.0,396.0,461.0,469.0,495.0,469.0,478.0,533.0,507.0,492.0,527.0,585.0,564.0,564.0,575.0,620.0,572.0,606.0,616.0,608.0,637.0,629.0,729.0,891.0,1027.0,1055.0,1089.0,1057.0,1003.0,1147.0,1406.0,1448.0,1970.0,2038.0,2145.0,2236.0,3019.0,2593.0,2521.0,2644.0,2575.0,2558.0
China,16000.0,18000.0,21000.0,23000.0,26000.0,26000.0,28000.0,21000.0,23700.0,31780.0,34430.0,37121.0,35604.0,37160.0,40021.0,43475.0,46794.0,52208.0,56020.0,59136.0,61320.0,66345.0,71000.0,80935.0,89539.0,92613.0,95360.0,101237.0,108911.0,114588.0,123709.0,128500.0,151634.0,182366.0,222336.0,282911.0,353240.0,419149.0,489288.0,500312.0,567842.0,638743.0,701968.0,731040.0,822000.0,822306.0,803825.0,807609.0,870855.0,928260.0,996342.0
India,6557.0,6276.0,6101.0,6856.0,6889.0,7088.0,7991.0,9364.0,10009.0,10099.0,10126.0,9514.0,10765.0,10997.0,10237.0,10549.0,11936.0,12197.0,13121.0,14309.0,14429.0,14963.0,17100.0,18117.0,18155.0,19287.0,22003.0,23753.0,24415.0,23480.0,24296.0,26924.0,27291.0,28814.0,31779.0,32626.0,45780.0,49450.0,53468.0,57791.0,62838.0,68976.0,73471.0,77264.0,81299.0,87292.0,89026.0,95477.0,101455.0,109272.0,111351.0
Hong Kong,95.0,100.0,105.0,110.0,115.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,10.0,10.0,30.0,50.0,80.0,100.0,139.0,250.0,310.0,518.0,543.0,621.0,693.0,983.0,1171.0,1374.0,1729.0,2059.0,1850.0,1850.0,2892.0,3089.0,2949.0,3802.0,3220.0,4130.0,4109.0,3816.0,2699.0,2891.0,2848.0,2781.0,2462.0,2042.0,3682.0,3675.0,3759.0,4160.0,3915.0,3501.0,3664.0,3621.0,2254.0,2644.0,4351.0,4854.0,4746.0,5195.0,6183.0,7783.0
Japan,82166.0,93322.0,88557.0,96900.0,119322.0,117131.0,102313.0,107399.0,102405.0,102105.0,111148.0,111395.0,101676.0,99548.0,97179.0,105586.0,105279.0,98275.0,98513.0,105681.0,107909.0,110339.0,109649.0,98132.0,99623.0,98295.0,101640.0,98801.0,104545.0,93548.0,91192.0,106444.0,102866.0,107745.0,110511.0,112718.0,112471.0,116226.0,120203.0,118739.0,87534.0,109599.0,107601.0,107232.0,110595.0,110666.0,105134.0,104775.0,104661.0,104319.0,99284.0
Malaysia,74.0,122.0,160.0,187.0,180.0,182.0,183.0,190.0,194.0,203.0,233.0,210.0,210.0,210.0,350.0,350.0,400.0,400.0,550.0,550.0,550.0,1100.0,1130.0,1559.0,1807.0,2046.0,2450.0,3216.0,2962.0,1903.0,2260.0,3650.0,4100.0,4722.0,3960.0,5698.0,5296.0,5834.0,6895.0,6423.0,4004.0,5694.0,5941.0,5612.0,4693.0,4316.0,3784.0,2764.0,3215.0,4108.0,6820.0
North Korea,2000.0,2180.0,2360.0,2500.0,2900.0,3200.0,2900.0,3000.0,4000.0,5080.0,5300.0,5800.0,5500.0,5800.0,6100.0,6500.0,6500.0,6600.0,6730.0,6830.0,6930.0,7000.0,5000.0,4000.0,3500.0,1600.0,600.0,600.0,600.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,250.0,1300.0,1300.0,1280.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
Philippines,101.0,112.0,136.0,173.0,216.0,237.0,316.0,357.0,364.0,276.0,397.0,330.0,350.0,350.0,200.0,250.0,250.0,250.0,300.0,300.0,400.0,600.0,605.0,497.0,623.0,473.0,923.0,920.0,980.0,880.0,530.0,426.0,500.0,550.0,500.0,400.0,470.0,558.0,718.0,711.0,824.0,1050.0,1200.0,1260.0,1308.0,1196.0,968.0,1075.0,1378.0,1475.0,1915.0
Singapore,114.0,114.0,130.0,198.0,211.0,194.0,188.0,194.0,206.0,280.0,297.0,340.0,263.0,359.0,305.0,362.0,365.0,390.0,441.0,432.0,495.0,489.0,510.0,482.0,520.0,530.0,521.0,531.0,383.0,499.0,590.0,603.0,456.0,460.0,561.0,610.0,572.0,607.0,640.0,764.0,664.0,728.0,752.0,688.0,434.0,540.0,501.0,520.0,596.0,618.0,766.0
South Korea,373.0,481.0,472.0,586.0,1157.0,1947.0,1994.0,3515.0,4347.0,4969.0,7610.0,8558.0,10753.0,11758.0,11915.0,13034.0,13539.0,14555.0,16782.0,19118.0,21873.0,23125.0,26001.0,28055.0,33026.0,33745.0,36772.0,38903.0,42554.0,39896.0,41042.0,43107.0,43852.0,45390.0,46310.0,47521.0,47820.0,48455.0,51517.0,53625.0,48572.0,58914.0,68519.0,69073.0,66061.0,71543.0,69670.0,68576.0,71030.0,72464.0,71412.0
Taiwan,480.0,350.0,470.0,540.0,535.0,901.0,1010.0,1628.0,1770.0,3432.0,4250.0,3417.0,3157.0,4152.0,5031.0,5241.0,5306.0,5545.0,5915.0,8288.0,9047.0,9748.0,10973.0,10705.0,11705.0,11594.0,11605.0,12305.0,15994.0,16914.0,15438.0,16896.0,17261.0,18230.0,18832.0,19599.0,18942.0,20000.0,20903.0,19882.0,15873.0,19755.0,20178.0,20664.0,22282.0,23221.0,21392.0,21751.0,22438.0,23240.0,21954.0
Thailand,33.0,153.0,170.0,283.0,324.0,326.0,251.0,281.0,309.0,385.0,400.0,450.0,300.0,312.0,244.0,381.0,447.0,460.0,534.0,535.0,550.0,685.0,711.0,929.0,954.0,1461.0,2134.0,2143.0,2101.0,1814.0,1532.0,2100.0,2127.0,2538.0,3551.0,4533.0,5161.0,4914.0,5565.0,5211.0,3646.0,4145.0,4256.0,3641.0,3613.0,5835.0,5069.0,5400.0,6762.0,6403.0,4246.0
Australia,7032.0,6839.0,6753.0,6751.0,7699.0,7813.0,7869.0,7794.0,7338.0,7596.0,8119.0,7589.0,7635.0,6371.0,5676.0,6302.0,6609.0,6674.0,6100.0,6387.0,6732.0,6676.0,6141.0,6803.0,7853.0,8424.0,8460.0,8415.0,8831.0,8941.0,8172.0,7129.0,7033.0,7527.0,7544.0,7414.0,7757.0,7881.0,7939.0,7625.0,5249.0,7296.0,6404.0,4893.0,4688.0,4607.0,4925.0,5259.0,5328.0,5689.0,5493.0
New Zealand,102.0,157.0,144.0,157.0,190.0,194.0,185.0,222.0,218.0,225.0,229.0,230.0,221.0,252.0,234.0,280.0,227.0,287.0,409.0,460.0,608.0,719.0,806.0,758.0,853.0,758.0,842.0,808.0,758.0,756.0,775.0,702.0,826.0,765.0,853.0,885.0,889.0,810.0,845.0,799.0,765.0,853.0,844.0,912.0,900.0,859.0,793.0,577.0,657.0,652.0,667.0
Ecuador,,,,,,,,,,,,17.0,28.0,28.0,23.0,18.0,18.0,17.0,25.0,23.0,23.0,20.0,20.0,20.0,27.0,32.0,35.0,20.0,44.0,46.0,53.0,58.0,60.0,69.0,80.0,72.0,84.0,85.0,87.0,128.0,259.0,372.0,463.0,425.0,570.0,667.0,720.0,576.0,561.0,583.0,607.0
Paraguay,,,,,,,,,,,,,,,,,,,13.0,62.0,55.0,88.0,61.0,86.0,87.0,95.0,96.0,66.0,56.0,50.0,,77.0,71.0,80.0,91.0,107.0,101.0,115.0,95.0,83.0,54.0,59.0,30.0,44.0,45.0,47.0,48.0,35.0,24.0,25.0,26.0
Trindad & Tobago,,,,,,,,,,,,,,183.0,210.0,187.0,172.0,326.0,361.0,361.0,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,20.0,22.0,90.0,182.0,229.0,321.0,200.0,184.0,234.0,213.0,220.0,250.0,200.0,191.0,58.0,36.0,12.0,15.0,,,,,,,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Zimbabwe,,,,,,,,,,,,805.0,691.0,538.0,647.0,423.0,731.0,674.0,597.0,602.0,592.0,585.0,581.0,547.0,221.0,154.0,220.0,212.0,214.0,212.0,255.0,258.0,149.0,105.0,152.0,135.0,107.0,24.0,23.0,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,0.0,0.0,0.0,275.0,842.0,1106.0,1100.0,1365.0,1614.0,1810.0,1790.0,1783.0,1823.0,2318.0,2411.0,2451.0,2683.0,2539.0,2359.0,2610.0,2981.0,3413.0,3570.0,3944.0,3902.0,4186.0,3974.0,4644.0,4667.0,4690.0,5015.0,5275.0,5203.0,5471.0,6291.0,5229.0,5461.0,4831.0,8187.0,8191.0
Bangladesh,,,,,,,,,,,,131.0,134.0,78.0,58.0,88.0,122.0,116.0,120.0,120.0,120.0,90.0,58.0,36.0,32.0,34.0,36.0,37.0,40.0,40.0,,,,,,,,,,,,1900.0,1900.0,1900.0,1900.0,2800.0,3500.0,3500.0,3500.0,3800.0,5100.0
Pakistan,,,,,,,,,,,,,10.0,20.0,120.0,300.0,750.0,900.0,1000.0,1200.0,1200.0,780.0,870.0,853.0,992.0,1000.0,950.0,900.0,900.0,900.0,900.0,950.0,953.0,970.0,1000.0,1145.0,825.0,1040.0,1090.0,1000.0,800.0,1401.0,1592.0,1631.0,1845.0,2423.0,2892.0,3553.0,4966.0,4719.0,3304.0
Albania,,,,,,,,,,,,,,,,,,,,,,143.0,28.0,20.0,19.0,19.0,22.0,23.0,22.0,22.0,16.0,5.0,80.0,140.0,140.0,143.0,180.0,206.0,263.0,300.0,250.0,390.0,464.0,500.0,550.0,560.0,150.0,50.0,,,
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,261.0,,,,52.0,72.0,75.0,60.0,77.0,84.0,74.0,95.0,75.0,289.0,490.0,533.0,608.0,519.0,592.0,649.0,700.0,722.0,793.0,819.0,806.0,756.0,695.0,801.0
Croatia,,,,,,,,,,,,,,,,,,,,,,,,102.0,74.0,63.0,45.0,46.0,69.0,101.0,74.0,71.0,58.0,34.0,41.0,86.0,73.0,81.0,75.0,89.0,43.0,95.0,96.0,1.0,135.0,167.0,122.0,0.0,0.0,136.0,69.0
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,7286.0,6769.0,7085.0,7184.0,6509.0,6750.0,6498.0,5616.0,6216.0,6316.0,6512.0,6783.0,7033.0,6189.0,6862.0,7059.0,6387.0,4594.0,5180.0,5583.0,5072.0,5171.0,5360.0,5262.0,5305.0,4550.0,4864.0,4437.0
Iceland,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,171.0,137.0,67.0,33.0,2.0,,49.0,49.0,161.0,260.0,260.0,291.0,309.0,310.0,354.0,359.0,253.0,270.0,292.0,386.0,217.0,100.0,188.0,121.0,169.0,273.0,266.0,239.0
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,3798.0,3922.0,3948.0,3975.0,3602.0,3835.0,3428.0,3569.0,3733.0,3989.0,4275.0,4588.0,4454.0,4485.0,5093.0,5089.0,4489.0,3747.0,4583.0,4236.0,4403.0,4511.0,4705.0,4562.0,4808.0,4974.0,4800.0,3600.0
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,401.0,355.0,424.0,394.0,314.0,373.0,405.0,405.0,519.0,462.0,481.0,541.0,566.0,583.0,628.0,638.0,642.0,428.0,606.0,648.0,632.0,618.0,615.0,604.0,613.0,648.0,654.0,623.0
FR. Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,667.0,181.0,139.0,182.0,689.0,1025.0,980.0,230.0,,,,,,,,,,,,,,,,,,,,
Byelorussia,,,,,,,,,,,,,,,,,,,,,,,,1105.0,946.0,880.0,744.0,886.0,1219.0,1412.0,1448.0,1502.0,1486.0,1484.0,1591.0,1792.0,2027.0,2324.0,2410.0,2589.0,2417.0,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,385.0,236.0,40.0,20.0,20.0,25.0,8.0,,,80.0,125.0,250.0,250.0,330.0,300.0,150.0,150.0,120.0,120.0,120.0,120.0,173.0,180.0,180.0,180.0,180.0,200.0,200.0
Georgia,,,,,,,,,,,,,,,,,,,,,,,,529.0,215.0,10.0,84.0,82.0,104.0,53.0,7.0,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,565.0,4279.0,2969.0,3028.0,3216.0,3889.0,3121.0,4099.0,4769.0,4655.0,4814.0,4898.0,5385.0,4451.0,4269.0,4782.0,4250.0,4146.0,4220.0,4699.0,3676.0,3275.0,3681.0,3910.0,4289.0,4641.0,3966.0,4134.0
Moldova,,,,,,,,,,,,,,,,,,,,,,,,619.0,604.0,633.0,663.0,646.0,811.0,735.0,796.0,908.0,967.0,514.0,850.0,1012.0,1016.0,675.0,965.0,885.0,380.0,240.0,313.0,335.0,190.0,351.0,443.0,126.0,469.0,497.0,392.0
Russia,,,,,,,,,,,,,,,,,,,,,,,,67029.0,58346.0,48812.0,51589.0,49253.0,48502.0,43822.0,51510.0,59136.0,58970.0,59777.0,61450.0,65583.0,66146.0,70830.0,72387.0,68510.0,60011.0,66942.0,68852.0,70209.0,69008.0,71461.0,70898.0,70453.0,71491.0,72122.0,71897.0
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,41759.0,32609.0,24081.0,22309.0,22332.0,25629.0,24445.0,27453.0,31767.0,33108.0,34050.0,36932.0,38738.0,38641.0,40891.0,42830.0,37279.0,29855.0,33432.0,35332.0,32975.0,32771.0,27170.0,22968.0,24218.0,21417.0,21100.0,20848.0
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,630.0,573.0,364.0,367.0,444.0,379.0,351.0,344.0,407.0,433.0,450.0,499.0,602.0,595.0,617.0,645.0,682.0,716.0,716.0,733.0,736.0,746.0,723.0,643.0,654.0,654.0,646.0,666.0
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,246.0,300.0,323.0,279.0,293.0,465.0,284.0,498.0,515.0,520.0,520.0,662.0,688.0,690.0,696.0,635.0,692.0,655.0,568.0,805.0,198.0,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,37.0,39.0,33.0,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,16.0,19.0,28.0,37.0,24.0,28.0,41.0,45.0,43.0,31.0,41.0,39.0,49.0,57.0,59.0,48.0,72.0,73.0,71.0,56.0,64.0,97.0,72.0,118.0,121.0,124.0,100.0,96.0,99.0,102.0
Guatemala,,,,,,,,,,,,,,,,,,,,,,21.0,23.0,25.0,18.0,,,,,,,167.0,202.0,216.0,226.0,232.0,207.0,292.0,349.0,250.0,224.0,274.0,294.0,334.0,385.0,395.0,403.0,314.0,294.0,300.0,306.0
Honduras,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,371.0,440.0,553.0,519.0,631.0,738.0,695.0,736.0,777.0,729.0,741.0,668.0,817.0,903.0,815.0,712.0,673.0,682.0,489.0,417.0,572.0,603.0,628.0,616.0,487.0,591.0,36.0,,,
Angola,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,9.0,9.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,20.0,19.0,20.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Kenya,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Libya,,,,,,,,,,,,,,,,,,,,,,492.0,718.0,789.0,920.0,874.0,909.0,863.0,897.0,874.0,966.0,1055.0,846.0,886.0,1007.0,1026.0,1255.0,1151.0,1250.0,1137.0,914.0,825.0,100.0,315.0,712.0,712.0,352.0,492.0,422.0,396.0,606.0
Mauritania,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Morocco,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,205.0,314.0,512.0,478.0,479.0,485.0,654.0,539.0,558.0,501.0,516.0,520.0,550.0,520.0,500.0
Uganda,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Zaire,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,134.0,135.0,140.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,200.0,200.0,250.0,300.0,330.0,330.0,350.0,350.0
Syria,,,,,,,,,,,,,,,,,,,,,,76.0,63.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,45.0,45.0,45.0,45.0,45.0,60.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,500.0,2000.0,2408.0,2878.0,2390.0,3006.0,3149.0,3309.0,3247.0,3327.0
Myanmar,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,15.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,70.0,100.0,150.0,200.0,250.0,300.0,350.0
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Viet Nam,,,,,,,,,,,,,,,,,,,,,,102.0,183.0,219.0,270.0,301.0,271.0,311.0,314.0,306.0,308.0,306.0,319.0,409.0,544.0,689.0,890.0,1869.0,2024.0,2250.0,2700.0,4314.0,4900.0,5298.0,5474.0,5847.0,5647.0,7811.0,11473.0,15471.0,17469.0
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46376.0,44803.0,45015.0,44809.0,46374.0,44524.0,47224.0,48550.0,45833.0,32670.0,43830.0,44284.0,42661.0,42645.0,42943.0,42676.0,42080.0,43297.0,42435.0,39627.0
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,170.0,130.0,130.0,140.0,120.0,70.0,140.0,150.0,120.0,120.0,100.0,75.0
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.0,1662.0,1061.0,1254.0,1324.0,346.0,396.0,583.0,955.0,1173.0,1477.0,1973.0,1929.0
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0,595.0,591.0,711.0,1175.0,1292.0,1823.0,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,40.0,45.0,45.0,50.0,50.0,50.0,50.0
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530.0,2614.0,2687.0,2245.0,2513.0,2510.0,2188.0,2343.0,2470.0,2621.0
D.R. Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0,700.0
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,1270.0
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,300.0,500.0,1500.0,2000.0,2000.0,2000.0,2000.0,2000.0
